Iter_Num,LR,Loss,Elapsed Time
1,0.01,26.121944427490234,0.04766937508247793
2,0.01,25.652313232421875,0.08234970807097852
3,0.01,25.093055725097656,0.11999279190786183
4,0.01,24.253902435302734,0.15342333307489753
5,0.01,23.576168060302734,0.1899591248948127
6,0.01,23.803918838500977,0.2242159580346197
7,0.01,23.50522232055664,0.30809137504547834
8,0.01,21.898244857788086,0.3427863330580294
9,0.01,22.385711669921875,0.379307416966185
10,0.01,21.675670623779297,0.4195575420744717
11,0.01,21.381052017211914,0.45376041694544256
12,0.01,21.611366271972656,0.49190933303907514
13,0.01,21.40076446533203,0.5213934578932822
14,0.01,20.919967651367188,0.5592779580038041
15,0.01,20.568330764770508,0.7313299169763923
16,0.01,19.714332580566406,1.1646188329905272
17,0.01,20.23072052001953,1.2131048329174519
18,0.01,19.01936149597168,1.2668304999824613
19,0.01,18.489042282104492,1.3216767080593854
20,0.01,18.2438907623291,1.3830835421103984
21,0.01,18.12349510192871,1.4381482501048595
22,0.01,17.77240753173828,1.507165624992922
23,0.01,17.169960021972656,1.5592955420725048
24,0.01,16.542335510253906,1.612385292071849
25,0.01,16.24139404296875,1.6623428328894079
26,0.01,16.474796295166016,1.7144407080486417
27,0.01,15.774608612060547,1.760836249915883
28,0.01,15.69655704498291,1.804182874970138
29,0.01,15.27719783782959,2.048725208034739
30,0.01,14.790179252624512,2.134132750099525
31,0.01,14.096492767333984,2.234622082905844
32,0.01,13.63383960723877,2.2821003750432283
33,0.01,13.698678970336914,2.3380402920302004
34,0.01,13.003321647644043,2.3822858328931034
35,0.01,13.239616394042969,2.4138153749518096
36,0.01,12.42923355102539,2.4440102078951895
37,0.01,12.12967300415039,2.479704875033349
38,0.01,11.998812675476074,2.5141378329135478
39,0.01,11.334230422973633,2.5479842498898506
40,0.01,11.313926696777344,2.5853429581038654
41,0.01,11.045050621032715,2.6192599169444293
42,0.01,10.602312088012695,2.651515749981627
43,0.01,10.587079048156738,2.687778166960925
44,0.01,9.939702033996582,2.7249565420206636
45,0.01,9.773009300231934,2.760130708105862
46,0.01,9.290421485900879,2.796234916895628
47,0.01,8.926545143127441,2.829143041977659
48,0.01,8.692948341369629,2.863420333014801
49,0.01,8.472519874572754,2.8969312920235097
50,0.01,8.22124195098877,2.9312969169113785
51,0.01,7.68121337890625,2.9692637079861015
52,0.01,7.51487398147583,3.004308708012104
53,0.01,7.2476091384887695,3.038527874974534
54,0.01,6.785190105438232,3.17964050010778
55,0.01,6.713253498077393,3.28897066693753
56,0.01,6.01408052444458,3.352461125003174
57,0.01,5.93641996383667,3.421220958000049
58,0.01,5.494142055511475,3.4649970000609756
59,0.01,5.187994956970215,3.503653292078525
60,0.01,5.082343578338623,3.5370743330568075
61,0.01,4.568666934967041,3.5718263329472393
62,0.01,4.368873119354248,3.606977582909167
63,0.01,3.957756996154785,3.636595082934946
64,0.01,3.748347282409668,3.6696439580991864
65,0.01,3.5218417644500732,3.7011095830239356
66,0.01,3.501699924468994,3.732738791964948
67,0.01,2.9871621131896973,3.765057417098433
68,0.01,2.719757556915283,3.7978764579165727
69,0.01,2.545419692993164,3.8342578751035035
70,0.01,2.366201400756836,3.867276957957074
71,0.01,2.161576271057129,3.901615292066708
